id,name_vi,region,category,meal_types,prep_time_min,cook_time_min,difficulty,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,price_est_vnd_min,price_est_vnd_max,diet_tags,allergens,taste_profile,spice_level,servings,image_url,description,ingredients,utensils,steps,suitable_for,avoid_for
bun-mam,Bún mắm,Nam,main,breakfast,10,30,medium,420,18,55,10,3,900,4,30000,60000,balanced,"Mắm cá (Mắm nêm/Linh), Tôm, Mực, Cá","Mặn, Cay, Thơm",1,1,https://file.hstatic.net/200000714303/file/bun-mam-nem-1_c86c473587ce4df9b2b92283a951aa5f_grande.jpg,Bún chan nước dùng làm từ mắm cá linh hay cá sặc,"Heo quay: 200g, Cá diêu hồng: 800g, Chả cá thác lác: 200g, Tôm: 400g, Mực: 300g, Mắm cá sặc: 300g, Cà tím: 2 trái, Thơm: 1/2 trái, Ớt: 3 trái, Hành tím: 2 củ, Sả: 3 tép, Ớt sừng: 5 trái, Hành lá: 3 nhánh, Hẹ: 20g, Rau ăn kèm: 1 ít, Bún tươi: 500g, Nước mắm: 1/2 muỗng cà phê, Dầu ăn: 7 muỗng canh","Tô, Chén, Vá, Nồi hấp, Đũa, Dao","Sơ chế sả hành rau thơm cá diêu hồng mực và heo quay, Nấu mắm cá sặc lọc lấy nước, Trộn chả cá nhồi ớt rồi chiên vàng, Luộc tôm mực cá diêu hồng, Nấu nước dùng với mắm cá thơm nước luộc hải sản và sả ớt phi rồi cho cà tím nêm lại, Xếp bún tôm mực cá heo quay chả ớt chan nước dùng",Cân bằng,Keto / Low-carb
bun-moc,Bún mọc,Bắc,main,lunch,10,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Nước mắm, Mọc (Giò sống)","Thơm, Đậm đà",1,1,https://vcdn1-giadinh.vnecdn.net/2021/01/02/Anh-6-7105-1609558348.jpg?w=460&h=0&q=100&dpr=2&fit=crop&s=o9uZITxyU-0sd6y4cmG-_w,Bún với mọc chan nước dùng,"Sườn non: 400g, Giò sống: 250g, Xương ống: 300g, Bún tươi: 1kg, Chả lụa: 200g, Mộc nhĩ: 60g, Hành lá: 5 nhánh, Rau mùi: 1 bó, Hành tím: 3 củ, Rau sống: 300g, Gia vị thông dụng: 50g","Nồi hấp, Dao, Đũa, Muỗng, Rây","Trụng xương ống rồi hầm với gia vị và sơ chế sườn ướp nhẹ, Sơ chế mộc nhĩ chả lụa hành rau và trụng bún, Trộn giò sống với mộc nhĩ hành rồi vo viên mọc và luộc chín, Phi hành cho sườn săn rồi cho vào nồi nước dùng thêm mọc và nêm lại",Cân bằng,Keto / Low-carb
bun-oc,Bún ốc,Bắc,main,dinner,12,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Ốc, Đậu hũ, Mắm tôm (ăn kèm)","Mặn, Chua, Cay, Thơm, Đậm đà",1,1,https://ducankitchen.com/wp-content/uploads/2021/07/bun-oc-chay-01.jpg,"Bún, ốc với nước dùng có vị chua","Ốc mít: 500g, Thịt ba chỉ: 200g, Nước hầm xương: 1.5 lít, Bún tươi: 500g, Dứa: 1/2 quả, Đậu hũ: 100g, Lá chanh: 5 lá, Sả: 2 nhánh, Hành tím: 3 củ, Tỏi: 5 tép, Hành tây: 1/2 củ, Ớt: 5 trái, Rau thơm: 20g, Ớt sa tế: 3 muỗng canh, Dầu ăn: 3 muỗng canh, Nước mắm: 2.5 muỗng canh","Chảo, Tô, Muỗng, Nồi, Đũa","Luộc ốc với sả lá chanh rồi khêu lấy thịt, Sơ chế sả hành tía tô ngò rí dứa hành tây đậu hũ và thịt ba chỉ, Phi hành tỏi sả rồi nấu nước dùng với nước hầm xương thơm đậu hũ sa tế và gia vị, Xào thịt ba chỉ với ốc và nêm cho thấm, Xếp bún chan nước dùng rồi thêm đậu hũ thịt và ốc xào",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-rieu-cua,Bún riêu cua,Trung,main,dinner,12,70,medium,420,18,55,10,3,900,4,30000,60000,balanced,"Cua đồng, Mắm tôm, Trứng, Đậu hũ","Mặn, Thơm",1,1,https://cdn.tgdd.vn/2020/08/CookProduct/Untitled-1-1200x676-10.jpg,"Bún và riêu cua được nấu từ gạch cua, thân cua giã, lọc với quả dọc, cà chua, mỡ nước, mẻ ngấu, nước mắm, muối, hành hoa.","Cua đồng xay: 1kg, Bún tươi: 400g, Giò sống: 100g, Huyết heo: 200g, Tôm khô: 50g, Mực khô: 30g, Lòng đỏ trứng gà: 2 cái, Mỡ heo: 100g, Đậu hũ: 150g, Cà chua: 500g, Rau ăn kèm: 300g, Hành tím: 100g, Hành lá: 20g, Dầu ăn: 150ml, Dầu điều: 1 muỗng canh, Mắm tôm: 20g, Nước mắm: 20ml","Chén, Thớt, Nồi, Đũa, Dao","Sơ chế cua lấy nước riêu và tách gạch, Chiên mỡ đậu hũ hành lá cà chua huyết tôm khô mực khô, Phi hành tím giòn và xào gạch cua, Làm chả cua rồi hấp chín, Xào cà chua với dầu điều, Nấu nước dùng với tôm mực xác cua rồi thêm nước riêu cua cà chua đậu hũ huyết gạch cua và nêm lại",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-thit-nuong,Bún thịt nướng,Trung,main,lunch,60,30,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Đậu phộng rang, Sữa (ướp thịt), Nước mắm","Ngọt, Cay, Thơm, Béo, Đậm đà",1,1,https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:format(webp):quality(75)/2023_10_9_638324664353641656_bun-thit-nuong-thumb.jpg,Bún ăn với thịt nướng cùng nước mắm và rau sống kiểu Huế.,"Thịt nạc vai heo: 800g, Hành tím: 30g, Tỏi: 30g, Đậu phộng rang: 100g, Hành lá: 60g, Sả: 3 cây, Ớt sừng: 2 trái, Củ cải trắng: 1 củ, Cà rốt: 1 củ, Sữa tươi không đường: 120ml, Mật ong: 2 muỗng canh, Bún tươi: 1 ít","Chén, Nồi, Nồi hấp, Rây","Sơ chế thịt heo và băm hành tỏi sả ớt rồi chuẩn bị rau củ, Ướp thịt với dầu điều nước mắm nước tương đường gia vị sữa và mật ong, Nướng thịt bằng than hoặc lò hoặc nồi chiên hoặc chảo, Làm đồ chua từ cà rốt củ cải với giấm đường, Pha nước mắm chua ngọt với tỏi ớt, Làm mỡ hành bằng cách đổ dầu nóng vào hành lá",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-thang,Bún thang,Bắc,main,breakfast,12,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Tôm khô, Mắm tôm, Trứng thái sợi","Mặn, Cay, Thơm, Đậm đà",1,1,https://www.huongnghiepaau.com/wp-content/uploads/2016/04/mon-bun-thang.jpg,"Bún ăn với nước dùng và cần đến 20 nguyên liệu: rau răm, mùi tàu, trứng gà rán mỏng, lườn gà xé, giò lụa thái sợi rải đều trên nền bún trắng. Bún phải là loại bún sợi nhỏ. Trên rắc tôm bông và rải vài lát lạp xường.","Gà ta: 1/2 con, Xương ống: 300g, Sá sùng (hoặc tôm khô): 15g, Chả lụa: 100g, Trứng gà: 1 quả, Ca la thầu: 30g, Hành tây: 1/4 củ, Cà rốt: 1/2 củ, Hành tím: 4 củ, Hành lá/ngò rí: 1 ít, Bún tươi: 600g, Mắm tôm: 50g, Nước mắm: 1/2 muỗng canh, Bột canh: 1 muỗng cà phê, Tiêu hạt: 1 muỗng cà phê","Nồi, Nồi hấp, Chảo, Muỗng","Luộc gà và xương với hành tiêu gia vị rồi xé gà, Sơ chế sá sùng ca la thầu trứng chả lụa và hành ngò, Ninh nước dùng với sá sùng cà rốt hành tây, Chần bún rồi xếp gà chả trứng ca la thầu và chan nước dùng",Cân bằng,Keto / Low-carb
cao-lau,Cao lầu,Trung,main,dinner,20,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Nước tương (Xì dầu), Bột mì (sợi/hoành thánh)","Thơm, Đậm đà",1,1,https://i-giadinh.vnecdn.net/2023/03/13/Buoc-7-Thanh-pham-1-7-9577-1678700377.jpg,Đặc sản của Hội An với sợi mì được chế biến rất công phu ăn cùng giá đỗ và thịt xá xíu,"Thịt heo: 500g, Xương ống heo: 500g, Bột mì đa dụng: 200g, Bột gạo: 200g, Bột năng: 140g, Tỏi: 6 tép, Nước tương: 3 muỗng canh, Ngũ vị hương: 1 muỗng cà phê, Hành tây: 1 củ, Rau thơm ăn kèm: 1 ít, Giá: 1 ít","Đũa, Vá, Chảo, Kéo","Trộn và nhào bột rồi ủ tạo khối bột dẻo, Cán bột cắt sợi rồi hấp chín làm mì cao lầu, Sơ chế xương heo thịt heo rau thơm giá và hành tây, Hầm xương với hành tây làm nước dùng, Ướp thịt heo chiên vàng rồi ninh làm xá xíu, Pha nước dùng từ nước hầm xương và sốt xá xíu",Cân bằng,
hu-tieu,Hủ tiếu,Nam,main,lunch,20,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Tôm, Mực, Nước mắm","Ngọt, Thơm, Đậm đà",1,1,https://i-giadinh.vnecdn.net/2023/05/15/Bc8Thnhphm18-1684125639-9811-1684125654.jpg,"Bánh hủ tiếu chan nước dùng với thịt băm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các nguyên liệu phụ vào như giá đỗ, hẹ, thịt băm cùng lòng lợn vào","Sợi hủ tiếu: 30gr, Xương heo: 500gr, Thịt nạc heo: 300gr, Tôm khô: 20gr, Củ cải trắng: 3 củ, Giá: 30gr, Hành lá: 2 nhánh, Hành phi: 1 ít, Tóp mỡ: 1 ít, Dầu ăn: 1/2 muỗng canh, Bột canh: 1/2 muỗng canh, Đường phèn: 2 muỗng canh","Dao, Vá, Thớt, Tô, Nồi, Kéo","Sơ chế thịt xương da heo rồi chần và luộc da cho sạch, Sơ chế củ cải giá hành, Nấu nước dùng với xương thịt củ cải và tôm khô rồi nêm gia vị, Vớt thịt và da cắt lát, Trụng hủ tiếu và giá rồi xếp tô với thịt da xương bò viên và chan nước dùng",Cân bằng,Keto / Low-carb
mi-quang,Mì Quảng,Trung,main,breakfast,12,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Tôm, Đậu phộng, Bánh tráng (Bột gạo/mì), Trứng","Ngọt, Mặn, Thơm",1,1,https://duonggiahotel.vn/wp-content/uploads/2023/09/quan-my-quang-da-nang.jpg,"Được làm từ sợi mì bằng bột gạo xay mịn và tráng thành từng lớp bánh mỏng, sau đó thái theo chiều ngang để có những sợi mì mỏng khoảng 2mm. Sợi mì làm bằng bột mỳ được trộn thêm một số phụ gia cho đạt độ dòn, dai. Dưới lớp mì là các loại rau sống, trên mì là thịt heo nạc, tôm, thịt gà cùng với nước dùng","Mì quảng: 800g, Gà: 1 con, Trứng cút: 15 quả, Nước dừa: 500ml, Đậu phộng rang: 50g, Bánh tráng mè nướng: 4 cái, Bột nghệ: 1 muỗng canh, Dầu màu điều: 1 muỗng canh, Nước dừa tươi: 500ml, Hành lá: 3 nhánh, Hành tây: 1 củ, Củ nén: 10 củ, Rau ăn kèm: 1 ít, Nước mắm: 2 muỗng canh, Đường phèn: 1 muỗng canh, Hạt nêm: 1/2 muỗng canh, Muối: 1 ít","Chảo, Kéo, Muỗng, Rây, Chén","Sơ chế gà rau hành củ nén và đậu phộng, Ướp gà với củ nén hành tây bột nghệ rồi luộc trứng cút, Phi hành củ nén với dầu điều rồi xào gà và nấu nước dùng với nước lọc nước dừa và nêm gia vị thêm trứng cút, Trụng mì rồi xếp gà trứng cút hành đậu phộng và chan nước dùng",Cân bằng,"Keto / Low-carb, Không gluten"
mi-xao,Mì xào,Trung,main,lunch,32,30,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Dầu hào, Sợi mì (Bột mì)",Cay,1,1,https://cookbeo.com/media/2021/05/mi-xao-hai-san/mi-xao-hai-san-4x3.jpg,"Mì xào chín giòn với trứng, thịt, rau, hải sản...","Mì: 100g, Tôm: 100g, Mực: 200g, Ớt chuông: 1 quả, Cải thìa: 100g, Dầu ăn: 2 muỗng canh, Gia vị thông dụng: 1 ít","Chảo, Kéo, Vá, Nồi hấp, Tô, Dao","Sơ chế tôm mực ớt chuông cải thìa tỏi và ngâm mì, Ướp tôm mực với gia vị, Chần mì sơ rồi xả lạnh, Xào tỏi rồi xào tôm mực tiếp xào ớt chuông cải thìa và trộn mì cho thấm rồi cho hải sản vào xào chung",Cân bằng,"Keto / Low-carb, Không gluten"
mi-xao-gion,Mì xào giòn,Trung,main,dinner,24,30,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Tôm/Mực, Sợi mì chiên (Bột mì)","Thơm, Đậm đà",1,1,https://i.ytimg.com/vi/f--i8wMAZZg/sddefault.jpg,"Mì trứng chiên giòn, phủ hải sản, rau và nước sốt","Mì chiên giòn: 2 gói, Tôm tươi: 200g, Mực tươi: 200g, Bóng bì lợn: 1/2 cái, Nấm đông cô tươi: 100g, Nấm rơm: 100g, Rau cải ngọt: 100g, Cà rốt: 1 củ, Củ sắn: 1/2 củ, Hành tây: 1 củ, Hành lá/cần tây: 1 ít, Tỏi: 4 tép, Hành tím: 2 củ, Rượu trắng: 4 muỗng canh, Bột năng: 1 muỗng canh, Dầu hào: 1 muỗng canh, Dầu ăn: 500ml, Gia vị thông dụng: 1 ít","Tô, Kéo, Chảo, Nồi hấp","Sơ chế rau củ nấm hành tỏi, Sơ chế bóng bì tôm mực, Xào bóng bì rồi xào tôm mực nêm gia vị, Chiên mì cho vàng giòn rồi xào rau củ thêm bóng bì tôm mực và tạo độ sánh",Cân bằng,"Keto / Low-carb, Không gluten"
mien-luon,Miến lươn,Trung,main,lunch,24,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Lươn, Bột tẩm (nếu có), Trứng (nếu gọi thêm)",Đậm đà,1,1,https://i-giadinh.vnecdn.net/2022/11/10/Buoc-6-thanh-pham-6-4302-1668073404.jpg,Được nấu từ miến với thịt lươn có hai dạng: dạng miến lươn khô và miến lươn nước nấu nước dùng là nước xương,"Miến dong: 200g, Lươn: 500g, Xương heo: 500g, Rau cải: 200g, Giá đỗ: 200g, Cà rốt: 2 củ, Nấm hương: 10g, Nấm mèo: 5 cái, Trứng: 1 quả, Rau thơm: 20g, Gia vị nêm nếm cơ bản: 10g","Muỗng, Dao, Vá, Thớt","Chuẩn bị lươn thái sợi và cắt khúc, Chiên lươn phủ bột cho vàng giòn, Xào lươn mềm với hành và nấm hương, Sơ chế miến nấm rau củ và trộn miến với dầu dầu hào và trứng, Xào rau rồi hầm xương làm nước dùng, Xào miến với lươn giòn lươn mềm rau củ và thêm nước xương cho tơi",Cân bằng,Keto / Low-carb
